Epoch 302: Train Loss: 0.1697, Train Accuracy: 0.9643
Epoch 303: Train Loss: 0.1693, Train Accuracy: 0.9643
Epoch 304: Train Loss: 0.1684, Train Accuracy: 0.9643
Epoch 305: Train Loss: 0.1674, Train Accuracy: 0.9643
Epoch 306: Train Loss: 0.1667, Train Accuracy: 0.9643
Epoch 307: Train Loss: 0.1667, Train Accuracy: 0.9643
Epoch 308: Train Loss: 0.1672, Train Accuracy: 0.9643
Epoch 309: Train Loss: 0.1676, Train Accuracy: 0.9643
Epoch 310: Train Loss: 0.1673, Train Accuracy: 0.9667
Epoch 311: Train Loss: 0.1663, Train Accuracy: 0.9643
Epoch 312: Train Loss: 0.1649, Train Accuracy: 0.9643
Epoch 313: Train Loss: 0.1644, Train Accuracy: 0.9643
Epoch 314: Train Loss: 0.1646, Train Accuracy: 0.9643
Epoch 315: Train Loss: 0.1652, Train Accuracy: 0.9667
Epoch 316: Train Loss: 0.1652, Train Accuracy: 0.9667
Epoch 317: Train Loss: 0.1647, Train Accuracy: 0.9643
Epoch 318: Train Loss: 0.1637, Train Accuracy: 0.9643
Epoch 319: Train Loss: 0.1628, Train Accuracy: 0.9667
Epoch 320: Train Loss: 0.1627, Train Accuracy: 0.9667
Epoch 321: Train Loss: 0.1625, Train Accuracy: 0.9667
Epoch 322: Train Loss: 0.1621, Train Accuracy: 0.9643
Epoch 323: Train Loss: 0.1614, Train Accuracy: 0.9643
Epoch 324: Train Loss: 0.1610, Train Accuracy: 0.9643
Epoch 325: Train Loss: 0.1609, Train Accuracy: 0.9643
Epoch 326: Train Loss: 0.1613, Train Accuracy: 0.9643
Epoch 327: Train Loss: 0.1617, Train Accuracy: 0.9619
Epoch 328: Train Loss: 0.1617, Train Accuracy: 0.9643
Epoch 329: Train Loss: 0.1614, Train Accuracy: 0.9619
Epoch 330: Train Loss: 0.1609, Train Accuracy: 0.9690
Epoch 331: Train Loss: 0.1605, Train Accuracy: 0.9667
Epoch 332: Train Loss: 0.1599, Train Accuracy: 0.9667
Epoch 333: Train Loss: 0.1590, Train Accuracy: 0.9643
Epoch 334: Train Loss: 0.1578, Train Accuracy: 0.9643
Epoch 335: Train Loss: 0.1570, Train Accuracy: 0.9643
Epoch 336: Train Loss: 0.1572, Train Accuracy: 0.9667
Epoch 337: Train Loss: 0.1581, Train Accuracy: 0.9667
Epoch 338: Train Loss: 0.1587, Train Accuracy: 0.9619
Epoch 339: Train Loss: 0.1585, Train Accuracy: 0.9690
Epoch 340: Train Loss: 0.1576, Train Accuracy: 0.9643
Epoch 341: Train Loss: 0.1562, Train Accuracy: 0.9643
Epoch 342: Train Loss: 0.1557, Train Accuracy: 0.9667
Epoch 343: Train Loss: 0.1554, Train Accuracy: 0.9667
Epoch 344: Train Loss: 0.1552, Train Accuracy: 0.9690
Epoch 345: Train Loss: 0.1549, Train Accuracy: 0.9667
Epoch 346: Train Loss: 0.1546, Train Accuracy: 0.9667
Epoch 347: Train Loss: 0.1546, Train Accuracy: 0.9619
Epoch 348: Train Loss: 0.1547, Train Accuracy: 0.9667
Epoch 349: Train Loss: 0.1544, Train Accuracy: 0.9619
Epoch 350: Train Loss: 0.1538, Train Accuracy: 0.9667
Epoch 351: Train Loss: 0.1529, Train Accuracy: 0.9667
Epoch 352: Train Loss: 0.1521, Train Accuracy: 0.9667
Epoch 353: Train Loss: 0.1516, Train Accuracy: 0.9667
Epoch 354: Train Loss: 0.1514, Train Accuracy: 0.9643
Epoch 355: Train Loss: 0.1514, Train Accuracy: 0.9643
Epoch 356: Train Loss: 0.1514, Train Accuracy: 0.9643
Epoch 357: Train Loss: 0.1511, Train Accuracy: 0.9667
Epoch 358: Train Loss: 0.1507, Train Accuracy: 0.9643
Epoch 359: Train Loss: 0.1501, Train Accuracy: 0.9667
Epoch 360: Train Loss: 0.1497, Train Accuracy: 0.9667
Epoch 361: Train Loss: 0.1496, Train Accuracy: 0.9690
Epoch 362: Train Loss: 0.1495, Train Accuracy: 0.9667
Epoch 363: Train Loss: 0.1495, Train Accuracy: 0.9690
Epoch 364: Train Loss: 0.1491, Train Accuracy: 0.9690
Epoch 365: Train Loss: 0.1484, Train Accuracy: 0.9643
Epoch 366: Train Loss: 0.1479, Train Accuracy: 0.9643
Epoch 367: Train Loss: 0.1477, Train Accuracy: 0.9667
Epoch 368: Train Loss: 0.1476, Train Accuracy: 0.9690
Epoch 369: Train Loss: 0.1476, Train Accuracy: 0.9690
Epoch 370: Train Loss: 0.1471, Train Accuracy: 0.9667
Epoch 371: Train Loss: 0.1467, Train Accuracy: 0.9690
Epoch 372: Train Loss: 0.1464, Train Accuracy: 0.9667
Epoch 373: Train Loss: 0.1461, Train Accuracy: 0.9667
Epoch 374: Train Loss: 0.1458, Train Accuracy: 0.9667
Epoch 375: Train Loss: 0.1456, Train Accuracy: 0.9643
Epoch 376: Train Loss: 0.1456, Train Accuracy: 0.9690
Epoch 377: Train Loss: 0.1458, Train Accuracy: 0.9643
Epoch 378: Train Loss: 0.1462, Train Accuracy: 0.9690
Epoch 379: Train Loss: 0.1469, Train Accuracy: 0.9643
Epoch 380: Train Loss: 0.1486, Train Accuracy: 0.9476
Epoch 381: Train Loss: 0.1514, Train Accuracy: 0.9524
Epoch 382: Train Loss: 0.1544, Train Accuracy: 0.9429
Epoch 383: Train Loss: 0.1548, Train Accuracy: 0.9595
Epoch 384: Train Loss: 0.1509, Train Accuracy: 0.9667
Epoch 385: Train Loss: 0.1454, Train Accuracy: 0.9690
Epoch 386: Train Loss: 0.1432, Train Accuracy: 0.9690
Epoch 387: Train Loss: 0.1456, Train Accuracy: 0.9548
Epoch 388: Train Loss: 0.1488, Train Accuracy: 0.9690
Epoch 389: Train Loss: 0.1482, Train Accuracy: 0.9667
Epoch 390: Train Loss: 0.1444, Train Accuracy: 0.9690
Epoch 391: Train Loss: 0.1421, Train Accuracy: 0.9667
Epoch 392: Train Loss: 0.1429, Train Accuracy: 0.9643
Epoch 393: Train Loss: 0.1447, Train Accuracy: 0.9714
Epoch 394: Train Loss: 0.1439, Train Accuracy: 0.9667
Epoch 395: Train Loss: 0.1415, Train Accuracy: 0.9690
Epoch 396: Train Loss: 0.1405, Train Accuracy: 0.9690
Epoch 397: Train Loss: 0.1409, Train Accuracy: 0.9667
Epoch 398: Train Loss: 0.1413, Train Accuracy: 0.9690
Epoch 399: Train Loss: 0.1412, Train Accuracy: 0.9667
Epoch 400: Train Loss: 0.1404, Train Accuracy: 0.9667
